scraped_at,scrape_date,store_name,food_group,search_term,preferred_brand,product_name,brand,current_price_eur,previous_price_eur,currency,unit_price_value_eur,unit_price_text,package_text,quantity_value,quantity_unit,has_discount,discount_percent,discount_text,promotion_type,promotion_condition,parser,search_url,source_product_url,notes
2026-03-26 13:17:37,2026-03-26,Hofer,Eier,Eier,Eigenmarke,FAIR HOF Freilandeier M/L,FAIR HOF,3.79,,EUR,,,10 Stk.,10,stk,FALSE,,,,,hofer,https://www.hofer.at/de/p.fair-hof-freilandeier-m-l.000000000000286196.html,https://www.hofer.at/de/p.fair-hof-freilandeier-m-l.000000000000286196.html,Packungsgroesse dokumentieren
2026-03-26 13:17:38,2026-03-26,Hofer,Fisch,Raeucherlachs,Eigenmarke,BIO Räucherlachs,BIO,4.49,,EUR,,,100 g Günstiger seit 15.12.2025,100,g,FALSE,,,,,hofer,https://www.hofer.at/de/p.bio-raeucherlachs.000000000000634004.html,https://www.hofer.at/de/p.bio-raeucherlachs.000000000000634004.html,Moeglichst Standardprodukt
2026-03-26 13:17:41,2026-03-26,Hofer,Fleisch,Faschiertes gemischt,Eigenmarke,Faschiertes gemischt,FAIR HOF,5.49,,EUR,,,,,,FALSE,,,,,hofer,https://www.hofer.at/de/p.faschiertes-gemischt.000000000000538979.html,https://www.hofer.at/de/p.faschiertes-gemischt.000000000000538979.html,Frischware
2026-03-26 13:17:43,2026-03-26,Hofer,Kaese,Mozzarella,Eigenmarke,ZURÜCK ZUM URSPRUNG BIO-Bergbauern Mozzarella,ZURÜCK ZUM URSPRUNG,1.39,,EUR,,,125 g,125,g,FALSE,,,,,hofer,https://www.hofer.at/de/p.zurueck-zum-ursprung-bio-bergbauern-mozzarella.000000000000106894.html,https://www.hofer.at/de/p.zurueck-zum-ursprung-bio-bergbauern-mozzarella.000000000000106894.html,Kugel oder Standardpackung
2026-03-26 13:17:46,2026-03-26,Hofer,Kaffee,Kaffee Crema,Eigenmarke,BARISSIMO Crema Intenso,BARISSIMO,5.49,,EUR,,,500 g Günstiger seit 24.10.2025,500,g,FALSE,,,,,hofer,https://www.hofer.at/de/p.barissimo-crema-intenso.000000000000567058.html,https://www.hofer.at/de/p.barissimo-crema-intenso.000000000000567058.html,Ganze Bohne wenn verfuegbar
2026-03-26 13:17:48,2026-03-26,Hofer,Mehl,Weizenmehl universal,Eigenmarke,"HAPPY HARVEST Weizenmehl gemischt, Universal",HAPPY HARVEST,0.75,,EUR,,,1 kg,1,kg,FALSE,,,,,hofer,https://www.hofer.at/de/p.happy-harvest-weizenmehl-gemischt-universal.000000000101923002.html,https://www.hofer.at/de/p.happy-harvest-weizenmehl-gemischt-universal.000000000101923002.html,1kg bevorzugt
2026-03-26 13:17:50,2026-03-26,Hofer,Milch,Vollmilch,Eigenmarke,"ZURÜCK ZUM URSPRUNG BIO-Bergbauern länger frisch Vollmilch 3,6 % Fett*",ZURÜCK ZUM URSPRUNG,1.79,,EUR,,,1 l,1,l,FALSE,,,,,hofer,https://www.hofer.at/de/p.zurueck-zum-ursprung-bio-bergbauern-laenger-frisch-vollmilch---fett.000000000000106885.html,https://www.hofer.at/de/p.zurueck-zum-ursprung-bio-bergbauern-laenger-frisch-vollmilch---fett.000000000000106885.html,3.5 Prozent oder aehnlich
2026-03-26 13:17:53,2026-03-26,Hofer,Schokolade,Vollmilchschokolade,Eigenmarke,"MOSER ROTH BIO-Schokolade, Vollmilchschokolade-Haselnuss",MOSER ROTH,2.19,,EUR,,,100 g,100,g,FALSE,,,,,hofer,https://www.hofer.at/de/p.moser-roth-bio-schokolade-vollmilchschokolade-haselnuss.000000000318236001.html,https://www.hofer.at/de/p.moser-roth-bio-schokolade-vollmilchschokolade-haselnuss.000000000318236001.html,Tafelware
2026-03-26 13:17:54,2026-03-26,Lidl,Butter,Teebutter,Eigenmarke,,,,,EUR,,,,,,,,,,,lidl,https://www.lidl.at/p/schaerdinger-sommerbutter/p10046703,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-03-26 13:17:56,2026-03-26,Lidl,Eier,Eier,Eigenmarke,Weiße Eier aus Bodenhaltung,,2.79,,EUR,,,<ul> <li>Gr&ouml;&szlig;e M/L</li> </ul>,,,FALSE,,,,,lidl,https://www.lidl.at/p/weisse-eier-aus-bodenhaltung/p10047011,https://www.lidl.at/p/weisse-eier-aus-bodenhaltung/p10047011,Packungsgroesse dokumentieren
2026-03-26 13:17:57,2026-03-26,Lidl,Fisch,Raeucherlachs,Eigenmarke,Norwegischer Räucherlachs mit Pistazien,Deluxe,3.99,,EUR,,,,,,FALSE,,,,,lidl,https://www.lidl.at/p/deluxe-norwegischer-raeucherlachs-mit-pistazien/p10045802,https://www.lidl.at/p/deluxe-norwegischer-raeucherlachs-mit-pistazien/p10045802,Moeglichst Standardprodukt
2026-03-26 13:17:59,2026-03-26,Lidl,Fleisch,Faschiertes gemischt,Eigenmarke,Frisches Faschiertes gemischt,FALSE,3.99,,EUR,1,Je 1 kg,Je 1 kg,1,kg,TRUE,,1+1 gratis,bundle,,lidl,https://www.lidl.at/q/search?q=Faschiertes%20gemischt,https://www.lidl.at/p/frisches-faschiertes-gemischt/p10046926,Frischware
2026-03-26 13:17:59,2026-03-26,Lidl,Fleisch,Faschiertes gemischt,Eigenmarke,WIESENTALER Frisches Faschiertes gemischt,WIESENTALER,,,EUR,,,,,,FALSE,,,,,lidl,https://www.lidl.at/q/search?q=Faschiertes%20gemischt,https://www.lidl.at/p/wiesentaler-frisches-faschiertes-gemischt/p10046977,Frischware
2026-03-26 13:18:00,2026-03-26,Lidl,Kaese,Mozzarella,Eigenmarke,TRATTORIA ALFREDO Glutenfreie Pizza Calzone,TRATTORIA ALFREDO,3.49,,EUR,250,Je 250 g (1 kg = 13.96),Je 250 g (1 kg = 13.96),250,g,TRUE,,Aktion,discount,,lidl,https://www.lidl.at/q/search?q=Mozzarella,https://www.lidl.at/p/trattoria-alfredo-glutenfreie-pizza-calzone/p10046980,Kugel oder Standardpackung
2026-03-26 13:18:02,2026-03-26,Lidl,Kaffee,Kaffee Crema,Eigenmarke,,,,,EUR,,,,,,,,,,,lidl,https://www.lidl.at/q/search?q=Kaffee%20Crema,,SCRAPE_ERROR: parser returned no products.
2026-03-26 13:18:04,2026-03-26,Lidl,Mehl,Weizenmehl universal,Eigenmarke,,,,,EUR,,,,,,,,,,,lidl,https://www.lidl.at/q/search?q=Weizenmehl%20universal,,SCRAPE_ERROR: parser returned no products.
2026-03-26 13:18:05,2026-03-26,Lidl,Milch,Vollmilch,Eigenmarke,,,,,EUR,,,,,,,,,,,lidl,https://www.lidl.at/q/search?q=Vollmilch,,SCRAPE_ERROR: parser returned no products.
2026-03-26 13:18:06,2026-03-26,Lidl,Schokolade,Vollmilchschokolade,Eigenmarke,,,,,EUR,,,,,,,,,,,lidl,https://www.lidl.at/q/search?q=Vollmilchschokolade,,SCRAPE_ERROR: parser returned no products.
2026-03-26 13:18:09,2026-03-26,MPreis,Butter,Teebutter,Eigenmarke,Teebutter,,1.79,,EUR,7.16,"7,16€ /kg",250g,250,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Teebutter,,Streichfaehige oder klassische Butter
2026-03-26 13:18:09,2026-03-26,MPreis,Butter,Teebutter,Eigenmarke,Primina Teebutter,,2.79,,EUR,11.16,"11,16€ /kg",250g,250,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Teebutter,,Streichfaehige oder klassische Butter
2026-03-26 13:18:09,2026-03-26,MPreis,Butter,Teebutter,Eigenmarke,Premium Teebutter streichzart,,2.99,,EUR,11.96,"11,96€ /kg",250g,250,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Teebutter,,Streichfaehige oder klassische Butter
2026-03-26 13:18:09,2026-03-26,MPreis,Butter,Teebutter,Eigenmarke,Premium Bio Teebutter,,2.99,,EUR,11.96,"11,96€ /kg",250g,250,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Teebutter,,Streichfaehige oder klassische Butter
2026-03-26 13:18:09,2026-03-26,MPreis,Butter,Teebutter,Eigenmarke,L-Free Österreichische Teebutter laktosefrei,,2.89,,EUR,14.45,"14,45€ /kg",200g,200,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Teebutter,,Streichfaehige oder klassische Butter
2026-03-26 13:18:09,2026-03-26,MPreis,Butter,Teebutter,Eigenmarke,Teebutter,,2.79,,EUR,11.16,"11,16€ /kg",250g,250,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Teebutter,,Streichfaehige oder klassische Butter
2026-03-26 13:18:09,2026-03-26,MPreis,Butter,Teebutter,Eigenmarke,Teebutter Süßrahm,,2.79,,EUR,11.16,"11,16€ /kg",250g,250,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Teebutter,,Streichfaehige oder klassische Butter
2026-03-26 13:18:09,2026-03-26,MPreis,Butter,Teebutter,Eigenmarke,Bio Wiesenmilch Teebutter,,2.99,,EUR,11.96,"11,96€ /kg",250g,250,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Teebutter,,Streichfaehige oder klassische Butter
2026-03-26 13:18:09,2026-03-26,MPreis,Butter,Teebutter,Eigenmarke,Bio Teebutter Süßrahm,,3.19,,EUR,12.76,"12,76€ /kg",250g,250,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Teebutter,,Streichfaehige oder klassische Butter
2026-03-26 13:18:09,2026-03-26,MPreis,Butter,Teebutter,Eigenmarke,Teebutter Sauerrahm,,2.79,,EUR,11.16,"11,16€ /kg",250g,250,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Teebutter,,Streichfaehige oder klassische Butter
2026-03-26 13:18:09,2026-03-26,MPreis,Butter,Teebutter,Eigenmarke,Teebutter,,1.49,,EUR,11.92,"11,92€ /kg",125g,125,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Teebutter,,Streichfaehige oder klassische Butter
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Bio-Eier 10er,,5.29,,EUR,0.53,"0,53€ /Stk",10STK,10,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Freilandeier 6er,,3.29,,EUR,0.55,"0,55€ /Stk",6STK,6,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Freilandeier 15er,,6.39,,EUR,0.43,"0,43€ /Stk",15STK,15,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Eier Bodenhaltung M 10er-Packung,,2.79,,EUR,0.28,"0,28€ /Stk",10STK,10,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Eier Freilandhaltung L 10er-Packung,,4.69,,EUR,0.47,"0,47€ /Stk",10STK,10,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Bio Eier M/L 6er-Packung,,4.79,,EUR,0.8,"0,80€ /Stk",6STK,6,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Eier Bodenhaltung L 10er-Packung,,4.29,,EUR,0.43,"0,43€ /Stk",10STK,10,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Ostereier Freilandhaltung 6er-Packung,,4.29,,EUR,0.72,"0,72€ /Stk",6STK,6,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Ostereier Freilandhaltung 10er-Packung,,5.29,,EUR,0.53,"0,53€ /Stk",10STK,10,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Ostereier Bodenhaltung 10er-Packung,,3.99,,EUR,0.4,"0,40€ /Stk",10STK,10,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Ostereier Bodenhaltung 6er-Packung,,3.29,,EUR,0.55,"0,55€ /Stk",6STK,6,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Freilandeier Premium 10er-Packung,,5.29,,EUR,0.53,"0,53€ /Stk",10STK,10,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Eier Freilandhaltung XL 10er-Packung,,6.29,,EUR,0.63,"0,63€ /Stk",10STK,10,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Eier Bodenhaltung L 6er-Packung,,3.29,,EUR,0.55,"0,55€ /Stk",6STK,6,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Tiroler Ostereier Freilandhaltung 6er-Packung,,4.19,,EUR,0.7,"0,70€ /Stk",6STK,6,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Eier 4er-Packung,,3.29,,EUR,0.82,"0,82€ /Stk",4STK,4,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Bio Ostereier 6er-Packung,,5.19,,EUR,0.87,"0,87€ /Stk",6STK,6,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Jauseneier Bodenhaltung 6er-Packung,,3.19,,EUR,0.53,"0,53€ /Stk",6STK,6,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Jauseneier Freilandhaltung 4er-Packung,,3.29,,EUR,0.82,"0,82€ /Stk",4STK,4,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Bio Eier L lose,,0.7,,EUR,0.7,"0,70€ /Stk",1STK,1,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Eier weiß Bodenhaltung 10er-Packung,,3.99,,EUR,0.4,"0,40€ /Stk",10STK,10,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Eier Freilandhaltung L 6er-Packung,,3.59,,EUR,0.6,"0,60€ /Stk",6STK,6,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Bio Freilandeier,,0.59,,EUR,0.59,"0,59€ /Stk",1STK,1,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Osttiroler Freilandeier M 10er-pack,,4.29,,EUR,0.43,"0,43€ /Stk",10STK,10,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Bio Eier M/L 10er-Packung,,6.99,,EUR,0.7,"0,70€ /Stk",10STK,10,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Osttiroler Freilandeier L 6er-pack,,3.29,,EUR,0.55,"0,55€ /Stk",6STK,6,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Eier Bodenhaltung L 10er-Packung,,3.99,,EUR,0.4,"0,40€ /Stk",10STK,10,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Eier Bodenhaltung M 10er-Packung,,3.89,,EUR,0.39,"0,39€ /Stk",10STK,10,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Eier Freilandhaltung M 10er-Packung,,4.19,,EUR,0.42,"0,42€ /Stk",10STK,10,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Freilandeier M 10er-Packung,,3.99,,EUR,0.4,"0,40€ /Stk",10STK,10,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Freilandeier L 6er-Packung,,3.49,,EUR,0.58,"0,58€ /Stk",6STK,6,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Eier L 10er-pack,,4.29,,EUR,0.43,"0,43€ /Stk",10STK,10,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Bio Eier M 10er-Packung,,5.99,,EUR,0.6,"0,60€ /Stk",10STK,10,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Eier Bodenhaltung L 10er-pack,,3.99,,EUR,0.4,"0,40€ /Stk",10STK,10,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Bio Eier L 6er-Packung,,3.79,,EUR,0.63,"0,63€ /Stk",6STK,6,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Wachteleier,,2.99,,EUR,0.5,"0,50€ /Stk",6STK,6,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Eier Bodenhaltung M 10er-Packung,,3.49,,EUR,0.35,"0,35€ /Stk",10STK,10,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Eier Bodenhaltung M 6er-Packung,,2.59,,EUR,0.43,"0,43€ /Stk",6STK,6,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Schober Eier BH M 10er,,3.79,,EUR,0.38,"0,38€ /Stk",10STK,10,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Eier Bodenhaltung M 15er-Packung,,4.69,,EUR,0.31,"0,31€ /Stk",15STK,15,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Kärntner Ostereier Bodenhaltung M10,,4.99,,EUR,0.5,"0,50€ /Stk",10STK,10,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:13,2026-03-26,MPreis,Eier,Eier,Eigenmarke,Echte Kärntner Eier Bodenhaltung M 30er,,7.99,,EUR,0.27,"0,27€ /Stk",30STK,30,stk,FALSE,,,,,mpreis,https://www.mpreis.at/search/Eier,,Packungsgroesse dokumentieren
2026-03-26 13:18:14,2026-03-26,MPreis,Fisch,Raeucherlachs,Eigenmarke,Räucherlachs,,5.99,,EUR,39.93,"39,93€ /kg",150g,150,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Raeucherlachs,,Moeglichst Standardprodukt
2026-03-26 13:18:14,2026-03-26,MPreis,Fisch,Raeucherlachs,Eigenmarke,Räucherlachs,,4.99,,EUR,24.95,"24,95€ /kg",200g,200,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Raeucherlachs,,Moeglichst Standardprodukt
2026-03-26 13:18:14,2026-03-26,MPreis,Fisch,Raeucherlachs,Eigenmarke,Räucherlachs Pate,,3.69,,EUR,36.9,"36,90€ /kg",100g,100,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Raeucherlachs,,Moeglichst Standardprodukt
2026-03-26 13:18:17,2026-03-26,MPreis,Fleisch,Faschiertes gemischt,Eigenmarke,Faschiertes gemischt,,6.99,,EUR,13.98,"13,98€ /kg",500g,500,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Faschiertes%20gemischt,,Frischware
2026-03-26 13:18:17,2026-03-26,MPreis,Fleisch,Faschiertes gemischt,Eigenmarke,Faschiertes mager gemischt,,5.49,,EUR,18.3,"18,30€ /kg",300g,300,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Faschiertes%20gemischt,,Frischware
2026-03-26 13:18:17,2026-03-26,MPreis,Fleisch,Faschiertes gemischt,Eigenmarke,Bio Tiroler Faschiertes gemischt,,6.99,,EUR,21.18,"21,18€ /kg",330g,330,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Faschiertes%20gemischt,,Frischware
2026-03-26 13:18:17,2026-03-26,MPreis,Fleisch,Faschiertes gemischt,Eigenmarke,Faschiertes gemischt,,7.99,,EUR,7.99,"7,99€ /kg",1000g,100,g,FALSE,,,,,mpreis,https://www.mpreis.at/search/Faschiertes%20gemischt,,Frischware
